Lenovo IdeaTab,$69.99,"7"" screen, Android",7 reviews
Acer Iconia,$96.99,"7"" screen, Android, 16GB",7 reviews
Asus MeMO Pad,$102.99,"7"" screen, Android, 8GB",14 reviews
Amazon Kindle,$103.99,"6"" screen, wifi",3 reviews
iPad Mini Reti...,$537.99,"Wi-Fi + Cellular, 32GB, Silver",8 reviews
IdeaTab A3500L,$88.99,"Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2",7 reviews
Lenovo IdeaTab,$69.99,"7"" screen, Android",7 reviews
Acer Iconia,$96.99,"7"" screen, Android, 16GB",7 reviews
Asus MeMO Pad,$102.99,"7"" screen, Android, 8GB",14 reviews
Amazon Kindle,$103.99,"6"" screen, wifi",3 reviews
iPad Mini Reti...,$537.99,"Wi-Fi + Cellular, 32GB, Silver",8 reviews
IdeaTab A3500L,$88.99,"Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2",7 reviews
